reaction formula	model.dG0	dG0_prime	dGm_prime	dG0_std
glyc3p_c + octeACP_c --> 1odec11eg3p_c + ACP_c	nan	nan	nan	0.0
atp_c + g3pc_p + h2o_c --> adp_c + g3pc_c + h_c + pi_c	nan	nan	nan	0.0
g3pc_e <=> g3pc_p	0.0	0.0	0.0	0.0
glyc3p_c + nadp_c <=> dhap_c + h_c + nadph_c	65.5091535624	19.6409383349	19.6409383349	0.566822681812
glyc3p_c + q8_c --> dhap_c + q8h2_c	nan	nan	nan	0.0
glyc3p_c + mqn8_c --> dhap_c + mql8_c	nan	nan	nan	0.0
2dmmq8_c + glyc3p_c --> 2dmmql8_c + dhap_c	nan	nan	nan	0.0
atp_c + g3pe_p + h2o_c --> adp_c + g3pe_c + h_c + pi_c	nan	nan	nan	0.0
g3pe_e <=> g3pe_p	0.0	0.0	0.0	0.0
atp_c + g3pg_p + h2o_c --> adp_c + g3pg_c + h_c + pi_c	nan	nan	nan	0.0
g3pg_e <=> g3pg_p	0.0	0.0	0.0	0.0
atp_c + g3pi_p + h2o_c --> adp_c + g3pi_c + h_c + pi_c	nan	nan	nan	0.0
g3pi_e <=> g3pi_p	0.0	0.0	0.0	0.0
atp_c + g3ps_p + h2o_c --> adp_c + g3ps_c + h_c + pi_c	nan	nan	nan	0.0
g3ps_e <=> g3ps_p	nan	nan	nan	0.0
glyc3p_c + h2o_c --> glyc_c + pi_c	nan	nan	nan	0.0
glu5sa_c --> 1pyr5c_c + h2o_c + h_c	nan	nan	nan	0.0
glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c	nan	nan	nan	0.0
gam6p_c + h2o_c --> f6p_c + nh4_c	nan	nan	nan	0.0
g6p_c + nadp_c <=> 6pgl_c + h_c + nadph_c	33.2434971965	-12.7392835543	-12.7392835543	3.22520774691
g6p_c + h2o_c --> glc__D_c + pi_c	nan	nan	nan	0.0
g6p_p + 2.0 pi_c --> g6p_c + 2.0 pi_p	0.0	0.0	0.0	0.0
g6p_e <=> g6p_p	0.0	0.0	0.0	0.0
gal1p_p + h2o_p --> gal_p + pi_p	nan	nan	nan	0.0
gal1p_e <=> gal1p_p	0.0	0.0	0.0	0.0
gal_bD_e <=> gal_bD_p	0.0	0.0	0.0	0.0
galct__D_c --> 5dh4dglc_c + h2o_c	nan	nan	nan	0.0
galctn__L_c + nad_c --> h_c + nadh_c + tagur_c	58.9731340447	15.4479669821	15.4479669821	1.56731216007
galctn__D_c --> 2dh3dgal_c + h2o_c	nan	nan	nan	0.0
galctn__L_p + h_p --> galctn__L_c + h_c	0.0	0.0	0.0	0.0
galctn__L_e <=> galctn__L_p	0.0	0.0	0.0	0.0
galctn__D_p + h_p --> galctn__D_c + h_c	0.0	0.0	0.0	0.0
galctn__D_e <=> galctn__D_p	0.0	0.0	0.0	0.0
