reaction formula	model.dG0	dG0_prime	dGm_prime	dG0_std
ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c	nan	nan	nan	0.0
aact_c + h2o_c + o2_c --> h2o2_c + mthgxl_c + nh4_c	nan	nan	nan	0.0
dtdp4aaddg_c + unagamu_c --> dtdp_c + h_c + unagamuf_c	nan	nan	nan	0.0
14glucan_c --> malthx_c	nan	nan	nan	0.0
14glucan_p --> malthx_p	nan	nan	nan	0.0
arbt6p_c + h2o_c --> g6p_c + hqn_c	nan	nan	nan	0.0
4abut_c + akg_c --> glu__L_c + sucsal_c	7.28555502017	8.48602482842	8.48602482842	1.34274989673
4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c	nan	nan	nan	0.0
4abut_p + h_p --> 4abut_c + h_c	0.0	0.0	0.0	0.0
4abut_e <=> 4abut_p	0.0	0.0	0.0	0.0
acac_c + accoa_c --> aacoa_c + ac_c	0.0	-0.000166732660091	-0.000166732660091	0.0
2.0 accoa_c <=> aacoa_c + coa_c	24.7995184835	24.7599422452	24.7599422452	1.965139881
acac_p + h_p <=> acac_c + h_c	0.0	0.0	0.0	0.0
acac_e <=> acac_p	0.0	0.0	0.0	0.0
acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c	35.2781444014	-8.20000951316	8.91482802156	1.61188887735
acald_e <=> acald_p	0.0	0.0	0.0	0.0
acald_p <=> acald_c	0.0	0.0	0.0	0.0
accoa_c + anth_c --> acanth_c + coa_c	-25.996922259	-26.0698149827	-26.0698149827	5.5266141142
adocbip_c + gtp_c + h_c --> agdpcbi_c + ppi_c	nan	nan	nan	0.0
accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c	nan	nan	nan	0.0
atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c	nan	nan	nan	0.0
acgal1p_p + h2o_p --> acgal_p + pi_p	nan	nan	nan	0.0
acgal1p_e <=> acgal1p_p	0.0	0.0	0.0	0.0
acgal_e <=> acgal_p	0.0	0.0	0.0	0.0
acgam1p_p + h2o_p --> acgam_p + pi_p	nan	nan	nan	0.0
acgam1p_e <=> acgam1p_p	0.0	0.0	0.0	0.0
acgam_c + atp_c --> acgam6p_c + adp_c + h_c	24.4401503703	-15.7777824767	-15.7777824767	1.11098227219
uacgam_c + udcpp_c --> ump_c + unaga_c	0.0	0.369364659562	0.369364659562	0.0
acgam_p + pep_c --> acgam6p_c + pyr_c	-44.9599878709	-42.5608275746	-42.5608275746	1.78536504717
acgam_e <=> acgam_p	0.0	0.0	0.0	0.0
acglu_c + atp_c --> acg5p_c + adp_c	15.2589000028	16.1301334074	16.1301334074	1.50994960569
accoa_c + glu__L_c --> acglu_c + coa_c + h_c	11.7452083673	-31.8375184154	-31.8375184154	2.42614877233
2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c	nan	nan	nan	0.0
ac_c + atp_c <=> actp_c + adp_c	15.2589000028	17.321542497	17.321542497	1.50994960569
h_c + 2.0 pyr_c --> alac__S_c + co2_c	nan	nan	nan	0.0
acmum6p_c + h2o_c --> acgam6p_c + lac__D_c	nan	nan	nan	0.0
uacmamu_c + unaga_c --> h_c + udp_c + unagamu_c	nan	nan	nan	0.0
acmana_p + pep_c --> acmanap_c + pyr_c	-44.9599878709	-42.5608275746	-42.5608275746	1.78536504717
acmana_e <=> acmana_p	0.0	0.0	0.0	0.0
acmum_p + pep_c --> acmum6p_c + pyr_c	-44.9599878709	-44.9928734871	-44.9928734871	1.78536504717
acmum_e --> acmum_p	0.0	0.0	0.0	0.0
acnam_p + h_p --> acnam_c + h_c	0.0	0.0	0.0	0.0
acnam_e <=> acnam_p	0.0	0.0	0.0	0.0
acnam_c --> acmana_c + pyr_c	-3.24634580135	-3.28308568155	-20.3979232163	2.28277880867
btcoa_c + fad_c <=> b2coa_c + fadh2_c	33.6502503953	78.3999321037	78.3999321037	11.243904028
fad_c + hxcoa_c <=> fadh2_c + hx2coa_c	33.6502503953	78.4000636379	78.4000636379	11.243904028
fad_c + occoa_c <=> fadh2_c + oc2coa_c	33.6502503953	78.3998062245	78.3998062245	11.243904028
dcacoa_c + fad_c <=> dc2coa_c + fadh2_c	33.6502503953	78.3998062245	78.3998062245	11.243904028
ddcacoa_c + fad_c <=> dd2coa_c + fadh2_c	33.6502503953	78.3998062245	78.3998062245	11.243904028
fad_c + tdcoa_c <=> fadh2_c + td2coa_c	33.6502503953	78.3998062245	78.3998062245	11.243904028
fad_c + pmtcoa_c <=> fadh2_c + hdd2coa_c	33.6502503953	78.3998062245	78.3998062245	11.243904028
fad_c + stcoa_c <=> fadh2_c + od2coa_c	33.6502503953	78.3998062245	78.3998062245	11.243904028
ACP_c + accoa_c <=> acACP_c + coa_c	nan	nan	nan	0.0
acorn_c + h2o_c --> ac_c + orn_c	nan	nan	nan	0.0
acolipa_p --> acolipa_e	nan	nan	nan	0.0
acon_T_c <=> acon_C_c	0.0	-0.0113044122209	-0.0113044122209	0.0
acon_T_c + amet_c --> aconm_c + ahcys_c	52.2995509637	55.9771218819	55.9771218819	195996.398678
cit_c <=> acon_C_c + h2o_c	nan	nan	nan	0.0
acon_C_c + h2o_c <=> icit_c	nan	nan	nan	0.0
acorn_c + akg_c <=> acg5sa_c + glu__L_c	7.28555502017	8.6795672512	8.6795672512	1.34274989673
apoACP_c + coa_c --> ACP_c + h_c + pap_c	nan	nan	nan	0.0
ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c	nan	nan	nan	0.0
acser_e <=> acser_p	0.0	0.0	0.0	0.0
acser_c --> acser_p	0.0	0.0	0.0	0.0
ac_p + h_p <=> ac_c + h_c	0.0	0.0	0.0	0.0
ac_p + na1_p --> ac_c + na1_c	0.0	0.0	0.0	0.0
ac_e <=> ac_p	0.0	0.0	0.0	0.0
adn_c + h2o_c + h_c --> ins_c + nh4_c	nan	nan	nan	0.0
4adcho_c --> 4abz_c + h_c + pyr_c	-25.1596851078	-67.3853295125	-84.5001670472	11.9655869113
chor_c + gln__L_c --> 4adcho_c + glu__L_c	-19.5322949392	-18.4000563666	-18.4000563666	4.01902021054
ade_c + h2o_c + h_c --> hxan_c + nh4_c	nan	nan	nan	0.0
ade_p + h_p <=> ade_c + h_c	0.0	0.0	0.0	0.0
ade_e <=> ade_p	0.0	0.0	0.0	0.0
amp_c + atp_c <=> 2.0 adp_c	-44.7646961518	-2.17797011512	-2.17797011512	0.698011490678
amp_c + gtp_c <=> adp_c + gdp_c	-44.7646961518	-2.19941714381	-2.19941714381	0.698011490678
amp_c + itp_c <=> adp_c + idp_c	-44.7646961518	-2.1767337026	-2.1767337026	0.698011490678
amet_c + h_c --> ametam_c + co2_c	nan	nan	nan	0.0
atp_c --> camp_c + ppi_c	nan	nan	nan	0.0
adn_c + atp_c --> adp_c + amp_c + h_c	24.4401503703	-15.783040204	-15.783040204	1.11098227219
adn_c + h2o_c --> ade_c + rib__D_c	nan	nan	nan	0.0
adn_p + h_p --> adn_c + h_c	0.0	0.0	0.0	0.0
adn_p + h_p <=> adn_c + h_c	0.0	0.0	0.0	0.0
adn_e <=> adn_p	0.0	0.0	0.0	0.0
adocbi_c + atp_c --> adocbip_c + adp_c + h_c	nan	nan	nan	0.0
agdpcbi_c + rdmbzi_c --> adocbl_c + gmp_c + h_c	nan	nan	nan	0.0
adocbl_p + atp_c + h2o_c --> adocbl_c + adp_c + h_c + pi_c	nan	nan	nan	0.0
adocbl_e + h_p --> adocbl_p + h_c	0.0	0.0	0.0	0.0
adprib_c + h2o_c --> amp_c + 2.0 h_c + r5p_c	nan	nan	nan	0.0
ade_c + prpp_c --> amp_c + ppi_c	nan	nan	nan	0.0
aps_c + atp_c --> adp_c + h_c + paps_c	31.8946004261	-13.1471753936	-13.1471753936	1.84468499367
dcamp_c <=> amp_c + fum_c	18.9796135553	23.8103426169	6.69550508217	5.14272210679
25aics_c <=> aicar_c + fum_c	24.8993101287	32.3224521875	15.2076146528	4.01582433694
asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c	nan	nan	nan	0.0
acgam6p_c + h2o_c --> ac_c + gam6p_c	nan	nan	nan	0.0
anhgm3p_c + h2o_c --> LalaDgluMdap_c + anhgm_c	nan	nan	nan	0.0
anhgm3p_p + h2o_p --> LalaDgluMdap_p + anhgm_p	nan	nan	nan	0.0
anhgm3p_c + h2o_c --> acgam_c + anhm3p_c	nan	nan	nan	0.0
anhgm3p_p + h_p --> anhgm3p_c + h_c	nan	nan	nan	0.0
anhgm4p_c + h2o_c --> LalaDgluMdapDala_c + anhgm_c	nan	nan	nan	0.0
anhgm4p_p + h2o_p --> LalaDgluMdapDala_p + anhgm_p	nan	nan	nan	0.0
anhgm4p_c + h2o_c --> ala__D_c + anhgm3p_c	nan	nan	nan	0.0
anhgm4p_p + h2o_p --> ala__D_p + anhgm3p_p	nan	nan	nan	0.0
anhgm4p_c + h2o_c --> acgam_c + anhm4p_c	nan	nan	nan	0.0
anhgm4p_p + h_p --> anhgm4p_c + h_c	nan	nan	nan	0.0
anhgm_c + h2o_c --> acgam_c + anhm_c	nan	nan	nan	0.0
adphep_DD_c --> adphep_LD_c	0.0	0.0	0.0	0.0
agm_c + h2o_c --> ptrc_c + urea_c	nan	nan	nan	0.0
anhgm_p + h_p --> anhgm_c + h_c	nan	nan	nan	0.0
agm_e <=> agm_p	0.0	0.0	0.0	0.0
1ddecg3p_c + ddcaACP_c --> ACP_c + pa120_c	nan	nan	nan	0.0
1tdecg3p_c + myrsACP_c --> ACP_c + pa140_c	nan	nan	nan	0.0
1tdec7eg3p_c + tdeACP_c --> ACP_c + pa141_c	nan	nan	nan	0.0
1hdecg3p_c + palmACP_c --> ACP_c + pa160_c	nan	nan	nan	0.0
1hdec9eg3p_c + hdeACP_c --> ACP_c + pa161_c	nan	nan	nan	0.0
1odecg3p_c + ocdcaACP_c --> ACP_c + pa180_c	nan	nan	nan	0.0
1odec11eg3p_c + octeACP_c --> ACP_c + pa181_c	nan	nan	nan	0.0
acg5sa_c + nadp_c + pi_c <=> acg5p_c + h_c + nadph_c	nan	nan	nan	0.0
ag_c + h_e --> ag_e + h_c	0.0	0.0	0.0	0.0
ahcys_c + h2o_c --> ade_c + rhcys_c	nan	nan	nan	0.0
10fthf_c + aicar_c <=> fprica_c + thf_c	11.2467448145	14.7025427058	14.7025427058	9.16940874808
air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c	nan	nan	nan	0.0
5aizc_c <=> 5caiz_c	-2.63358247021	-42.8639016815	-42.8639016815	10.280792901
akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c	nan	nan	nan	0.0
akg_p + h_p <=> akg_c + h_c	0.0	0.0	0.0	0.0
akg_e <=> akg_p	0.0	0.0	0.0	0.0
alaala_c + h2o_c --> 2.0 ala__D_c	nan	nan	nan	0.0
alaala_p + atp_c + h2o_c --> adp_c + alaala_c + h_c + pi_c	nan	nan	nan	0.0
2.0 ala__D_c + atp_c <=> adp_c + alaala_c + h_c + pi_c	nan	nan	nan	0.0
alaala_e <=> alaala_p	0.0	0.0	0.0	0.0
LalaDglu_c <=> LalaLglu_c	nan	nan	nan	0.0
ala__L_c <=> ala__D_c	0.0	0.0	0.0	0.0
ala__D_c + pydx5p_c --> pyam5p_c + pyr_c	-7.28555502017	-6.02597970071	-6.02597970071	1.34274989673
akg_c + ala__L_c <=> glu__L_c + pyr_c	0.0	1.21378286734	1.21378286734	0.0
ala__L_c + pydx5p_c --> pyam5p_c + pyr_c	-7.28555502017	-6.02597970071	-6.02597970071	1.34274989673
ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c	nan	nan	nan	0.0
ala__L_p + atp_c + h2o_c --> adp_c + ala__L_c + h_c + pi_c	nan	nan	nan	0.0
ala__L_p + h_p --> ala__L_c + h_c	0.0	0.0	0.0	0.0
ala__L_p + na1_p --> ala__L_c + na1_c	0.0	0.0	0.0	0.0
ala__L_e <=> ala__L_p	0.0	0.0	0.0	0.0
glyald_c + h_c + nadh_c <=> glyc_c + nad_c	-67.9864380503	-24.4665604851	-24.4665604851	0.963789276767
etoh_c + nad_c <=> acald_c + h_c + nadh_c	67.9864380503	24.4665682081	24.4665682081	0.963789276767
h2o_c + nad_c + pacald_c --> 2.0 h_c + nadh_c + pac_c	nan	nan	nan	0.0
acald_c + h2o_c + nad_c --> ac_c + 2.0 h_c + nadh_c	nan	nan	nan	0.0
acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c	nan	nan	nan	0.0
h2o_c + nadp_c + ppal_c --> 2.0 h_c + nadph_c + ppa_c	nan	nan	nan	0.0
btal_c + h2o_c + nad_c --> but_c + 2.0 h_c + nadh_c	nan	nan	nan	0.0
all__D_c + atp_c --> adp_c + all6p_c + h_c	24.4401503703	-15.7936945165	-15.7936945165	1.11098227219
all6p_c <=> allul6p_c	nan	nan	nan	0.0
alltt_c + 2.0 h2o_c + 2.0 h_c --> co2_c + 2.0 nh4_c + urdglyc_c	nan	nan	nan	0.0
alltn_c + h2o_c --> alltt_c + h_c	nan	nan	nan	0.0
alltn_p + h_p <=> alltn_c + h_c	0.0	0.0	0.0	0.0
alltn_e <=> alltn_p	0.0	0.0	0.0	0.0
allul6p_c <=> f6p_c	nan	nan	nan	0.0
all__D_p + atp_c + h2o_c --> adp_c + all__D_c + h_c + pi_c	nan	nan	nan	0.0
all__D_e <=> all__D_p	0.0	0.0	0.0	0.0
alpp_p + pe160_p --> 2agpe160_p + lpp_p	nan	nan	nan	0.0
alpp_p + pg160_p --> 2agpg160_p + lpp_p	nan	nan	nan	0.0
h_c + mthgxl_c + nadph_c --> acetol_c + nadp_c	-67.9864380503	-22.0232325916	-22.0232325916	0.963789276767
acetol_c + h_c + nadh_c --> 12ppd__R_c + nad_c	-65.5091535624	-21.9892828717	-21.9892828717	0.566822681812
altrn_c --> 2ddglcn_c + h2o_c	nan	nan	nan	0.0
anhm3p_c + h2o_c --> LalaDgluMdap_c + anhm_c	nan	nan	nan	0.0
anhm4p_c + h2o_c --> LalaDgluMdapDala_c + anhm_c	nan	nan	nan	0.0
anhm4p_c + h2o_c --> ala__D_c + anhm3p_c	nan	nan	nan	0.0
malt_c + malttr_c --> glc__D_c + maltttr_c	0.0	1.16239218642e-05	1.16239218642e-05	0.0
malt_c + maltttr_c --> glc__D_c + maltpt_c	0.0	1.97741048851e-05	1.97741048851e-05	0.0
malt_c + maltpt_c --> glc__D_c + malthx_c	0.0	1.88515723494e-05	1.88515723494e-05	0.0
malt_c + malthx_c --> glc__D_c + malthp_c	0.0	1.78852315003e-05	1.78852315003e-05	0.0
acmanap_c <=> acgam6p_c	0.0	0.0	0.0	0.0
acmana_c + atp_c --> acmanap_c + adp_c + h_c	24.4401503703	-15.7777824767	-15.7777824767	1.11098227219
8aonn_c + amet_c <=> amob_c + dann_c	0.0	-0.871974058216	-0.871974058216	0.0
2dmmql8_c + amet_c --> ahcys_c + h_c + mql8_c	nan	nan	nan	0.0
air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c	nan	nan	nan	0.0
amp_c + h2o_c --> ade_c + r5p_c	nan	nan	nan	0.0
cgly_c + h2o_c --> cys__L_c + gly_c	nan	nan	nan	0.0
h2o_c + progly_c --> gly_c + pro__L_c	nan	nan	nan	0.0
amp_e <=> amp_p	0.0	0.0	0.0	0.0
anhgm_e <=> anhgm_p	nan	nan	nan	0.0
anhm_c + atp_c + h2o_c --> acmum6p_c + adp_c + h_c	nan	nan	nan	0.0
anth_c + prpp_c --> ppi_c + pran_c	nan	nan	nan	0.0
chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c	-44.691980047	-85.7871685183	-102.902006053	12.383094413
2aobut_c + h_c --> aact_c + co2_c	nan	nan	nan	0.0
ala__L_c + h_c + pmcoa_c <=> 8aonn_c + co2_c + coa_c	nan	nan	nan	0.0
ap4a_c + h2o_c --> 2.0 adp_c + 2.0 h_c	nan	nan	nan	0.0
ap5a_c + h2o_c --> adp_c + atp_c + 2.0 h_c	nan	nan	nan	0.0
5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c	-71.2764625129	-25.3973344501	-25.3973344501	2.39784069687
arab__L_c <=> rbl__L_c	0.636058378937	0.633074996391	0.633074996391	0.891234087714
2.0 arbtn_fe3_c + fadh2_c --> 2.0 arbtn_c + fad_c + 2.0 fe2_c + 2.0 h_c	nan	nan	nan	0.0
2.0 arbtn_fe3_c + fmnh2_c --> 2.0 arbtn_c + 2.0 fe2_c + fmn_c + 2.0 h_c	nan	nan	nan	0.0
2.0 arbtn_fe3_c + rbflvrd_c --> 2.0 arbtn_c + 2.0 fe2_c + 2.0 h_c + ribflv_c	nan	nan	nan	0.0
arbtn_fe3_p + atp_c + h2o_c --> adp_c + arbtn_fe3_c + h_c + pi_c	nan	nan	nan	0.0
arbtn_e + fe3_e --> arbtn_fe3_e	nan	nan	nan	0.0
arbtn_p + h_p --> arbtn_e + h_c	nan	nan	nan	0.0
arbtn_fe3_e + h_p --> arbtn_fe3_p + h_c	0.0	0.0	0.0	0.0
arbtn_c + h_p --> arbtn_p + h_c	nan	nan	nan	0.0
arab__L_p + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c	nan	nan	nan	0.0
arab__L_p + h_p <=> arab__L_c + h_c	0.0	0.0	0.0	0.0
arab__L_c + h_p --> arab__L_p + h_c	0.0	0.0	0.0	0.0
arab__L_e <=> arab__L_p	0.0	0.0	0.0	0.0
agm_c + arg__L_p <=> agm_p + arg__L_c	0.0	0.0	0.0	0.0
arg__L_c + h_c --> agm_c + co2_c	nan	nan	nan	0.0
arg__L_p + h_p --> agm_p + co2_p	nan	nan	nan	0.0
arg__L_p + orn_c <=> arg__L_c + orn_p	0.0	0.0	0.0	0.0
argsuc_c <=> arg__L_c + fum_c	14.3382276576	11.9476166974	-5.1672208373	4.8415587797
asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c	nan	nan	nan	0.0
arg__L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c	nan	nan	nan	0.0
arg__L_p + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c	nan	nan	nan	0.0
arg__L_c + h_p --> arg__L_p + h_c	0.0	0.0	0.0	0.0
arg__L_e <=> arg__L_p	0.0	0.0	0.0	0.0
aspsa_c + nadp_c + pi_c <=> 4pasp_c + h_c + nadph_c	nan	nan	nan	0.0
ascb6p_c + h2o_c --> 3dhgulnp_c + h_c	nan	nan	nan	0.0
ascb__L_p + pep_c --> ascb6p_c + pyr_c	nan	nan	nan	0.0
ascb__L_e <=> ascb__L_p	nan	nan	nan	0.0
asn__L_c + h2o_c --> asp__L_c + nh4_c	nan	nan	nan	0.0
asn__L_p + h2o_p --> asp__L_p + nh4_p	nan	nan	nan	0.0
asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c	nan	nan	nan	0.0
asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c	nan	nan	nan	0.0
asn__L_c + atp_c + trnaasn_c --> amp_c + asntrna_c + ppi_c	nan	nan	nan	0.0
asn__L_p + atp_c + h2o_c --> adp_c + asn__L_c + h_c + pi_c	nan	nan	nan	0.0
asn__L_p + h_p <=> asn__L_c + h_c	0.0	0.0	0.0	0.0
asn__L_e <=> asn__L_p	0.0	0.0	0.0	0.0
aso3_c + atp_c + h2o_c --> adp_c + aso3_p + h_c + pi_c	nan	nan	nan	0.0
aso3_e <=> aso3_p	0.0	0.0	0.0	0.0
asp__L_c + h_c --> ala_B_c + co2_c	nan	nan	nan	0.0
asp__L_c + cbp_c --> cbasp_c + h_c + pi_c	nan	nan	nan	0.0
asp__L_c + atp_c <=> 4pasp_c + adp_c	15.2589000028	16.9484300968	16.9484300968	1.50994960569
asp__L_c + q8_c --> h_c + iasp_c + q8h2_c	nan	nan	nan	0.0
asp__L_c + mqn8_c --> h_c + iasp_c + mql8_c	nan	nan	nan	0.0
asp__L_c + fum_c --> h_c + iasp_c + succ_c	-3.93350069348	-3.92336957855	-3.92336957855	2.60369250004
asp__L_c + o2_c --> h2o2_c + h_c + iasp_c	nan	nan	nan	0.0
asp__L_c --> fum_c + nh4_c	nan	nan	nan	0.0
akg_c + asp__L_c <=> glu__L_c + oaa_c	0.0	0.00610892540932	0.00610892540932	0.0
asp__L_c + atp_c + trnaasp_c --> amp_c + asptrna_c + ppi_c	nan	nan	nan	0.0
asp__L_p + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c	nan	nan	nan	0.0
asp__L_p + 2.0 h_p --> asp__L_c + 2.0 h_c	0.0	0.0	0.0	0.0
asp__L_p + 3.0 h_p --> asp__L_c + 3.0 h_c	0.0	0.0	0.0	0.0
asp__L_p + h_p --> asp__L_c + h_c	0.0	0.0	0.0	0.0
asp__L_e <=> asp__L_p	0.0	0.0	0.0	0.0
aso4_c + 2.0 gthrd_c --> aso3_c + gthox_c + h2o_c	nan	nan	nan	0.0
arg__L_c + succoa_c --> coa_c + h_c + sucarg_c	11.7452083673	-24.5209549238	-24.5209549238	2.42614877233
athr__L_c + nadp_c <=> 2aobut_c + h_c + nadph_c	65.5091535624	17.3784741303	17.3784741303	0.566822681812
atp_c + h2o_c + h_c --> itp_c + nh4_c	nan	nan	nan	0.0
atp_c + h2o_c --> adp_c + h_c + pi_c	nan	nan	nan	0.0
atp_c + prpp_c --> ppi_c + prbatp_c	nan	nan	nan	0.0
adp_c + 4.0 h_p + pi_c <=> atp_c + h2o_c + 3.0 h_c	nan	nan	nan	0.0
ala_B_p + h_p --> ala_B_c + h_c	0.0	0.0	0.0	0.0
ala_B_e <=> ala_B_p	0.0	0.0	0.0	0.0
betald_c + h2o_c + nad_c --> glyb_c + 2.0 h_c + nadh_c	nan	nan	nan	0.0
betald_c + h2o_c + nadp_c --> glyb_c + 2.0 h_c + nadph_c	nan	nan	nan	0.0
h2o_c + pap_c --> amp_c + pi_c	nan	nan	nan	0.0
btnso_c + h_c + nadh_c --> btn_c + h2o_c + nad_c	nan	nan	nan	0.0
btnso_c + h_c + nadph_c --> btn_c + h2o_c + nadp_c	nan	nan	nan	0.0
amet_c + dtbt_c + s_c --> btn_c + dad_5_c + h_c + met__L_c	nan	nan	nan	0.0
accoa_c + but_c --> ac_c + btcoa_c	0.0	-0.0272556611942	-0.0272556611942	0.0
atp_c + butso3_p + h2o_c --> adp_c + butso3_c + h_c + pi_c	nan	nan	nan	0.0
butso3_e <=> butso3_p	nan	nan	nan	0.0
but_p + h_p <=> but_c + h_c	0.0	0.0	0.0	0.0
but_e <=> but_p	0.0	0.0	0.0	0.0
ca2_c + h_p --> ca2_p + h_c	0.0	0.0	0.0	0.0
ca2_e <=> ca2_p	0.0	0.0	0.0	0.0
15dap_c + h_p + lys__L_p --> 15dap_p + h_c + lys__L_c	0.0	0.0	0.0	0.0
2.0 h2o2_c --> 2.0 h2o_c + o2_c	nan	nan	nan	0.0
ca2_c + na1_p <=> ca2_p + na1_c	0.0	0.0	0.0	0.0
atp_c + cbi_c + h_c <=> adocbi_c + pppi_c	nan	nan	nan	0.0
cbi_e + h_p --> cbi_p + h_c	0.0	0.0	0.0	0.0
atp_c + cbi_p + h2o_c --> adp_c + cbi_c + h_c + pi_c	nan	nan	nan	0.0
atp_c + cbl1_p + h2o_c --> adp_c + cbl1_c + h_c + pi_c	nan	nan	nan	0.0
cbl1_e + h_p --> cbl1_p + h_c	0.0	0.0	0.0	0.0
atp_c + cbl1_c + h_c <=> adocbl_c + pppi_c	nan	nan	nan	0.0
atp_c + co2_c + nh4_c <=> adp_c + cbp_c + 2.0 h_c	nan	nan	nan	0.0
2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c	nan	nan	nan	0.0
atp_c + cd2_c + h2o_c --> adp_c + cd2_p + h_c + pi_c	nan	nan	nan	0.0
cd2_c + h_p --> cd2_p + h_c	0.0	0.0	0.0	0.0
cd2_e <=> cd2_p	0.0	0.0	0.0	0.0
cd2_p --> cd2_c	0.0	0.0	0.0	0.0
cdpdddecg_c + h2o_c --> cmp_c + 2.0 h_c + pa120_c	nan	nan	nan	0.0
cdpdtdecg_c + h2o_c --> cmp_c + 2.0 h_c + pa140_c	nan	nan	nan	0.0
cdpdtdec7eg_c + h2o_c --> cmp_c + 2.0 h_c + pa141_c	nan	nan	nan	0.0
cdpdhdecg_c + h2o_c --> cmp_c + 2.0 h_c + pa160_c	nan	nan	nan	0.0
cdpdhdec9eg_c + h2o_c --> cmp_c + 2.0 h_c + pa161_c	nan	nan	nan	0.0
cdpdodecg_c + h2o_c --> cmp_c + 2.0 h_c + pa180_c	nan	nan	nan	0.0
cdpdodec11eg_c + h2o_c --> cmp_c + 2.0 h_c + pa181_c	nan	nan	nan	0.0
4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c	36.0938682451	-8.93748197693	-8.93748197693	7.82318404426
2.0 amet_c + pe161_c --> 2.0 ahcys_c + cpe160_c + 2.0 h_c	nan	nan	nan	0.0
2.0 amet_c + pg161_c --> 2.0 ahcys_c + cpg160_c + 2.0 h_c	nan	nan	nan	0.0
2.0 amet_c + pe181_c --> 2.0 ahcys_c + cpe180_c + 2.0 h_c	nan	nan	nan	0.0
2.0 amet_c + pg181_c --> 2.0 ahcys_c + cpg180_c + 2.0 h_c	nan	nan	nan	0.0
atp_c + cgly_p + h2o_c --> adp_c + cgly_c + h_c + pi_c	nan	nan	nan	0.0
cgly_e <=> cgly_p	0.0	0.0	0.0	0.0
atp_c + chol_p + h2o_c --> adp_c + chol_c + h_c + pi_c	nan	nan	nan	0.0
chol_p + h_p --> chol_c + h_c	0.0	0.0	0.0	0.0
chol_e <=> chol_p	0.0	0.0	0.0	0.0
chor_c --> pphn_c	-21.8381307918	-21.8376253606	-21.8376253606	8.65119080945
3psme_c --> chor_c + pi_c	nan	nan	nan	0.0
chor_c --> 4hbz_c + pyr_c	-95.3353426491	-94.1350361341	-111.249873669	11.4666307943
cinnm_c + h_c + nadh_c + o2_c --> cenchddd_c + nad_c	nan	nan	nan	0.0
cit_c --> ac_c + oaa_c	4.53659114194	6.99009331646	-10.1247442183	1.51112880043
cit_p + succ_c --> cit_c + succ_p	0.0	0.0	0.0	0.0
cit_e <=> cit_p	0.0	0.0	0.0	0.0
lipa_cold_p --> lipa_cold_e	nan	nan	nan	0.0
clpn120_p + h2o_p --> h_p + pa120_p + pg120_p	nan	nan	nan	0.0
clpn140_p + h2o_p --> h_p + pa140_p + pg140_p	nan	nan	nan	0.0
clpn141_p + h2o_p --> h_p + pa141_p + pg141_p	nan	nan	nan	0.0
clpn160_p + h2o_p --> h_p + pa160_p + pg160_p	nan	nan	nan	0.0
clpn161_p + h2o_p --> h_p + pa161_p + pg161_p	nan	nan	nan	0.0
clpn180_p + h2o_p --> h_p + pa180_p + pg180_p	nan	nan	nan	0.0
clpn181_p + h2o_p --> h_p + pa181_p + pg181_p	nan	nan	nan	0.0
2.0 pg120_p <=> clpn120_p + glyc_p	nan	nan	nan	0.0
2.0 pg140_p <=> clpn140_p + glyc_p	nan	nan	nan	0.0
2.0 pg141_p <=> clpn141_p + glyc_p	nan	nan	nan	0.0
2.0 pg160_p <=> clpn160_p + glyc_p	nan	nan	nan	0.0
2.0 pg161_p <=> clpn161_p + glyc_p	nan	nan	nan	0.0
2.0 pg180_p <=> clpn180_p + glyc_p	nan	nan	nan	0.0
2.0 pg181_p <=> clpn181_p + glyc_p	nan	nan	nan	0.0
