cid,dG0_f
C00887,  104.21
C00888,-3197.97
C00889,     nan
C00891,   34.51
C00892,   -5.56
C00893,     nan
C00894,-3130.22
C00895,-1383.39
C00896,   40.60
C00897,-1579.78
C00898, -996.58
C00899,  213.78
C00900, -621.11
C00902, -451.22
C00903,   96.19
C00904,-3695.51
C00905,-1092.54
C00906, -256.25
C00908, -873.39
C00909,  -16.08
C00911,     nan
C00912,     nan
C00913,  365.68
C00915,  645.08
C00916,-1309.07
C00917,     nan
C00918, -353.19
C00919,     nan
C00920,-3980.97
C00921,  -52.09
C00922, -586.92
C00923,     nan
C00924,     nan
C00925,     nan
C00927, -866.34
C00928, -163.62
C00929,     nan
C00930,     nan
C00931, -541.95
C00933, -621.57
C00934,     nan
C00935,-2988.93
C00936, -915.60
C00937, -292.11
C00938,     nan
C00939, -204.11
C00940, -637.48
C00941,-1126.77
C00942,-1027.39
C00943,-1021.11
C00944, -959.39
C00946,-1031.60
C00949,     nan
C00950, -294.71
C00951, -165.20
C00952,     nan
C00954, -115.95
C00955,   61.58
C00956, -681.56
C00957, -455.80
C00958,     nan
C00959, -512.03
C00960,     nan
C00961, -578.58
C00962, -915.60
C00963,     nan
C00964,  -49.38
C00965,-2243.96
C00966, -599.51
C00968, -632.96
C00969, -289.98
C00971, -329.47
C00972,     nan
C00973,     nan
C00974, -843.18
C00975, -962.94
C00976,-3005.11
C00977,   44.11
C00978, -122.06
C00979, -669.05
C00980,     nan
C00982,  254.48
C00984, -915.60
C00985,     nan
C00986,  -49.17
C00988,-1355.78
C00989, -483.23
C00990, -186.15
C00991,     nan
C00992,     nan
C00993, -492.57
C00994,-1104.69
C00995,     nan
C00996,     nan
C00997,     nan
C00998,     nan
C00999,     nan
C01000,     nan
C01001,-2048.45
C01002,-1749.37
C01003,   -0.00
C01004, -172.36
C01005,-1366.92
C01007, -545.42
C01008,  -17.90
C01009,-2974.58
C01010, -499.00
C01011,-3695.51
C01012, -414.14
C01013, -518.41
C01014, -270.64
C01015, -459.28
C01016,     nan
C01017, -326.29
C01018, -758.51
C01019, -757.66
C01020, -390.97
C01021,     nan
C01022,     nan
C01023,-1483.02
C01024,-2165.79
C01025,     nan
C01026, -290.48
C01028, -299.03
C01029, -129.86
C01031,-1071.95
C01032,     nan
C01033,-3195.29
C01034,   27.09
C01035, -266.74
C01036, -813.30
C01037, -337.01
C01040, -904.78
C01041, -829.37
C01042, -813.04
C01043, -456.15
C01044, -773.47
C01045, -766.51
C01046, -648.97
C01047, -488.29
C01048, -807.50
C01050,-3378.81
C01051,-2265.55
C01053, -600.01
C01054,  466.22
C01056,   -9.93
C01058,     nan
C01059, -260.29
C01060, -275.68
C01061, -813.30
C01062,-1085.95
C01063,-3518.66
C01064,     nan
C01066, -251.51
C01067,-1624.28
C01068,-1635.00
C01069, -518.14
C01070,     nan
C01071,     nan
C01073, -488.07
C01074,     nan
C01075,-1459.69
C01076,     nan
C01077, -657.33
C01078,     nan
C01079, -136.27
C01080,-2592.97
C01081, -653.96
C01083,-1582.19
C01086,     nan
C01087, -835.87
C01088, -817.61
C01089, -516.34
C01090, -197.21
C01091,     nan
C01092, -444.47
C01093,-1574.44
C01094,-1760.93
C01095,-2509.52
C01096,-1792.61
C01097,-1756.19
C01099,-1599.53
C01100, -849.42
C01101,-1598.22
C01102,-1356.00
C01103,-1887.32
C01104,  102.19
C01107,-1489.48
C01108, -491.19
C01109, -430.69
C01110, -475.01
C01111, -707.21
C01112,-1597.95
C01113,-1754.76
C01114, -752.53
C01115, -904.78
C01117,     nan
C01118, -978.02
C01119, -282.33
C01120,-1083.09
C01121,-1330.24
C01122,     nan
C01123,  -49.38
C01124, -570.76
C01125, -390.86
C01126,  147.52
C01127, -954.47
C01131,-1586.14
C01132, -888.63
C01133,-1099.23
C01134,-1398.57
C01135,     nan
C01136, -245.60
C01137,  -31.74
C01138,-2276.72
C01139,     nan
C01140,     nan
C01141,     nan
C01142, -362.21
C01143,-2402.64
C01144,-3373.59
C01146, -616.84
C01147, -274.79
C01149,  -61.47
C01151,-2432.86
C01152, -128.66
C01153,     nan
C01155,-2221.79
C01156,-2221.79
C01157, -459.29
C01158,-1518.26
C01159,-2344.45
C01161, -614.90
C01162,     nan
C01163, -832.68
C01164,   89.93
C01165, -467.73
C01166,     nan
C01167,     nan
C01168,-1636.49
C01169, -566.29
C01170,-3117.87
C01171,-1749.37
C01172,-1757.48
C01173, -401.13
C01175,-1411.33
C01176, -257.83
C01177,-1812.91
C01179, -470.61
C01180, -428.95
C01181, -279.08
C01182,-2438.63
C01183,     nan
C01185,-1566.07
C01186, -351.31
C01187,-1231.24
C01188, -497.05
C01189,   59.17
C01190,     nan
C01191, -855.88
C01192,-1337.95
C01194,    0.00
C01196,     nan
C01197, -527.71
C01198, -404.78
C01199,     nan
C01200,     nan
C01201,-2499.31
C01203,     nan
C01204,-5981.78
C01205, -357.68
C01207, -767.15
C01209,    0.00
C01210,-1001.63
C01211,     nan
C01212,-3506.74
C01213,-3529.04
C01214, -831.42
C01215, -729.79
C01216, -926.74
C01217,-2092.93
C01218,-1927.18
C01219,-2746.59
C01220,-2646.68
C01221,-2316.79
C01222,-2647.21
C01223,     nan
C01224,     nan
C01225,-1863.36
C01226, -254.79
C01227, -143.17
C01228,-3865.80
C01229,     nan
C01230,-1262.75
C01231,-2595.51
C01233,-1088.45
C01234, -341.27
C01235,-1644.31
C01236,-1748.92
C01239, -740.92
C01240,     nan
C01241,     nan
C01242,     nan
C01243,-3480.46
C01244, -377.14
C01245,-3480.46
C01246,-1011.73
C01247,     nan
C01249, -652.69
C01250, -588.47
C01251,-1154.79
C01252, -423.17
C01253,     nan
C01255, -456.15
C01256,     nan
C01259, -438.52
C01260,-3617.13
C01261,-4065.47
C01262, -259.27
C01263, -711.06
C01264,     nan
C01265, -883.18
C01266,-2145.27
C01267, -956.34
C01268,-1579.06
C01269,-1837.09
C01270, -390.18
C01271,     nan
C01272,-4314.23
C01273, -342.92
C01274,-2144.44
C01275, -569.89
C01277,    0.00
C01278, -868.58
C01279,   32.99
C01280,-3158.02
C01281,   -0.00
C01282,     nan
C01283,-1665.20
C01284,-5148.01
C01285,  118.07
C01286,-1766.86
C01288,     nan
C01289,-1320.73
C01290,     nan
C01291,-3332.86
C01292, -647.03
C01293,     nan
C01294,-1571.57
C01295, -898.79
C01297, -137.54
C01298, -590.09
C01299,   -0.00
C01300,  -66.91
C01301, -429.13
C01302,-1582.58
C01304,-1382.19
C01306,     nan
C01308,     nan
C01310,-1578.49
C01311,     nan
C01312, -566.38
C01313, -551.71
C01314, -542.07
C01315, -507.34
C01316, -497.69
C01319,     nan
C01321,     nan
C01322,     nan
C01324,     nan
C01326,  119.57
C01327,     nan
C01328,     nan
C01329,     nan
C01330,     nan
C01334,     nan
C01335,     nan
C01336,     nan
C01337,-2370.53
C01341, -599.61
C01342,     nan
C01343,     nan
C01344,-1997.11
C01345,-2862.78
C01346,-2320.66
C01347,-2200.26
C01348,-3065.93
C01349, -490.31
C01352,-2256.18
C01353, -586.73
C01355,     nan
C01356,     nan
C01358,     nan
C01359,-1079.06
C01362,     nan
C01365,     nan
C01367,-1031.60
C01368,-1573.04
C01370,     nan
C01371,     nan
C01372,     nan
C01375,-1186.48
C01378, -843.18
C01380, -337.02
C01382,     nan
C01384, -592.00
C01386,  173.53
C01387,   18.95
C01389,   32.45
C01390,  -80.07
C01392,     nan
C01394, -759.75
C01397,  320.66
C01398,     nan
C01399,     nan
C01401, -364.65
C01402,     nan
C01403,  -79.95
C01404, -238.96
C01405, -521.39
C01407,  118.27
C01408,   -5.95
C01410, -431.84
C01411, -130.97
C01412, -130.25
C01413,     nan
C01414,  105.10
C01416, -419.81
C01417,  -97.39
C01418,     nan
C01419, -485.90
C01420, -661.81
C01421, -964.61
C01424, -825.02
C01425,-1133.95
C01432, -509.71
C01433,-1379.24
C01438,  -34.38
C01441, -889.66
C01443,-1620.43
C01444, -524.83
C01445,-2055.90
