cid,dG0_f
C09421, -418.27
C09422,     nan
C09423,     nan
C09424,     nan
C09425,-1037.52
C09426,     nan
C09427, -876.67
C09428,-1033.76
C09429,-1056.45
C09430, -322.14
C09431, -671.17
C09432,-1020.59
C09433, -819.70
C09434, -843.41
C09435, -978.51
C09436, -870.95
C09437, -876.67
C09438, -324.79
C09439,-1056.45
C09440, -365.79
C09441,     nan
C09442, -715.21
C09443, -947.89
C09444,     nan
C09445, -462.18
C09446,     nan
C09447, -947.89
C09448, -833.65
C09449, -680.30
C09450, -453.92
C09451, -662.55
C09452, -658.17
C09453, -507.00
C09454, -198.19
C09455, -664.89
C09456, -516.43
C09457,     nan
C09458,     nan
C09459,     nan
C09460, -238.24
C09461,     nan
C09462, -783.57
C09463,-1264.41
C09464,-1437.21
C09465,-1358.77
C09466, -225.12
C09467, -784.33
C09468, -765.12
C09469,-1077.77
C09470, -509.13
C09471, -647.44
C09472, -482.46
C09473, -452.67
C09474, -675.78
C09475,-1020.59
C09476, -330.60
C09477,     nan
C09478,-1440.45
C09479, -853.66
C09480, -615.39
C09481, -456.55
C09482, -622.13
C09483, -725.42
C09484, -168.60
C09485, -639.35
C09486, -864.98
C09487, -592.15
C09488, -338.87
C09489, -687.56
C09490, -876.96
C09491, -700.99
C09492, -500.90
C09493, -937.38
C09494, -619.61
C09495,     nan
C09496, -587.77
C09497, -605.38
C09498, -466.14
C09499, -638.51
C09500,-1177.20
C09501,-1671.39
C09502, -848.97
C09503, -280.26
C09504, -452.67
C09505, -317.84
C09506, -404.49
C09507, -366.32
C09508,     nan
C09509, -492.28
C09510,     nan
C09511, -627.73
C09512, -723.79
C09513, -718.29
C09514, -658.17
C09515, -634.89
C09516, -634.89
C09517, -845.55
C09518, -571.30
C09519, -141.04
C09520, -720.72
C09521, -928.81
C09522, -665.44
C09523, -452.17
C09524, -219.99
C09525,-1296.97
C09526,     nan
C09527, -635.67
C09528,     nan
C09529,     nan
C09530, -529.79
C09531, -457.04
C09532,-1072.29
C09533,-1220.37
C09534, -366.32
C09535, -545.67
C09536, -605.38
C09537,     nan
C09538,     nan
C09539, -668.05
C09540, -513.27
C09541,     nan
C09542, -522.88
C09543,     nan
C09544, -361.66
C09545, -312.00
C09546,     nan
C09547, -699.20
C09548, -502.14
C09549,     nan
C09550,     nan
C09551,-1165.62
C09552, -396.64
C09553,     nan
C09554, -720.98
C09555, -511.53
C09556, -365.79
C09557,     nan
C09558, -506.59
C09559, -789.38
C09560, -805.21
C09561,-1596.58
C09562, -315.42
C09563,-1323.35
C09564, -500.90
C09565, -283.53
C09566, -500.90
C09567, -196.26
C09568, -709.86
C09569, -287.34
C09570, -679.20
C09571, -240.39
C09572, -886.18
C09573, -454.59
C09574, -446.53
C09575, -580.92
C09576, -734.13
C09577, -861.64
C09578, -366.34
C09579, -995.28
C09580,     nan
C09581,     nan
C09582, -536.30
C09583,     nan
C09584, -536.30
C09585,     nan
C09586, -894.14
C09587, -597.86
C09588,     nan
C09589,     nan
C09590,     nan
C09591,-1094.24
C09592, -846.87
C09593, -986.73
C09594,     nan
C09595, -358.54
C09596,     nan
C09597,     nan
C09598,     nan
C09599,     nan
C09600, -458.30
C09601, -235.20
C09602, -612.39
C09603, -612.39
C09604, -462.18
C09605, -341.79
C09606, -331.10
C09607, -851.06
C09608, -363.28
C09609, -664.02
C09610, -643.37
C09611,     nan
C09612, -292.71
C09613,     nan
C09614, -672.92
C09615,     nan
C09616,-2105.53
C09617,-1459.81
C09618, -449.23
C09619, -597.77
C09621,   -8.67
C09622, -612.96
C09623, -357.41
C09624,     nan
C09625,   65.20
C09626, -335.07
C09627, -133.38
C09628,  -89.55
C09629,   94.94
C09630,     nan
C09631,     nan
C09632, -251.22
C09633,  217.67
C09634, -729.24
C09635,   70.51
C09636,-1435.51
C09637,   93.30
C09638, -635.03
C09639,     nan
C09640, -241.94
C09641, -322.78
C09642, -246.88
C09643,     nan
C09644, -444.29
C09645, -391.15
C09646, -520.20
C09647,     nan
C09648,     nan
C09649,  250.25
C09650, -321.99
C09651,     nan
C09652,     nan
C09653, -193.30
C09654,     nan
C09655,     nan
C09656,     nan
C09657, -271.30
C09658,  112.26
C09659,     nan
C09660,    6.05
C09661,     nan
C09662,     nan
C09663,  -85.38
C09664,  -62.59
C09665,  386.30
C09666,  387.76
C09667,     nan
C09668, -414.58
C09669,     nan
C09670,     nan
C09671, -491.60
C09672,   75.07
C09673, -107.96
C09674, -469.70
C09675,  227.31
C09676,  -39.62
C09677, -234.10
C09678, -274.18
C09679,-2823.71
C09680, -499.16
C09681, -155.66
C09682,  -80.95
C09683,     nan
C09684,  120.60
C09685, -325.99
C09686, -162.69
C09687, -386.77
C09688, -543.86
C09689,  -70.24
C09690,   19.55
C09691,   94.94
C09692, -172.41
C09693, -347.59
C09694, -181.78
C09695, -295.28
C09696,  188.05
C09697, -802.40
C09698,  -73.43
C09699,     nan
C09700, -109.14
C09701,     nan
C09702, -499.92
C09704,  144.40
C09705,     nan
C09706, -145.34
C09707, -526.67
C09708, -390.09
C09709,     nan
C09710,  -28.67
C09711, -325.01
C09712, -158.13
C09714, -431.21
C09715, -138.04
C09716,     nan
C09717,     nan
C09718,  163.26
C09719,     nan
C09720,    6.17
C09721, -269.42
C09722, -176.68
C09723,  180.76
C09724, -457.68
C09725, -639.14
C09726,    0.47
C09727, -899.35
C09728, -899.35
C09729,  269.28
C09730,  270.75
C09731,-1705.17
C09732,-2106.92
C09733, -161.18
C09734, -671.34
C09735, -696.20
C09736, -866.46
C09737,   12.74
C09738,     nan
C09739,  -37.23
C09740,     nan
C09741,     nan
C09742,     nan
C09743, -187.08
C09744,  -18.61
C09745,  -66.03
C09746,     nan
C09747,     nan
C09748, -329.65
C09749,     nan
C09750,  194.50
C09751, -640.03
C09752, -362.14
C09753, -532.41
C09754,-1211.60
C09755,-2101.98
C09756, -871.13
C09757, -119.63
C09758,-1320.50
C09759, -319.80
C09760, -310.69
C09761,-1511.45
C09762, -469.76
C09763,-1719.54
C09764,-1176.50
C09765,-1226.95
C09766,     nan
C09767,-1499.31
C09768,-1310.56
C09769,     nan
C09770,-1244.55
C09771,-1193.40
C09772, -215.68
C09773,-1297.88
C09774, -593.63
C09775,-1494.24
C09776,-1041.02
C09777, -106.01
C09778,    9.88
C09779,-1500.03
C09780, -720.30
C09781,-1384.48
C09782,     nan
C09783,-1247.19
C09784,-1550.27
C09785, -183.76
C09786, -214.44
C09787,     nan
C09788,-1528.03
C09789,-1896.31
C09790, -219.77
C09791, -232.85
C09792, -232.85
C09793,-1903.77
C09794,-1774.68
C09795,     nan
C09796,     nan
C09797,-1590.58
C09798,-1554.75
C09799, -909.82
C09800,-1209.10
C09801,-1010.26
C09802,-1355.96
C09803,-1553.42
C09804, -238.19
C09805,-2099.47
C09806,-2094.53
C09807, -598.56
C09808,-1451.87
C09809,-3077.20
C09810,-3133.18
C09811,-3170.74
C09812,-3322.59
C09813,-3364.73
C09814,  176.78
C09815,  -48.32
C09816, -519.64
C09817,-3381.04
C09818,-3304.75
C09819,-3540.26
C09820,-3502.66
C09821,-3317.72
C09822, -290.92
C09823,-3152.32
C09824,-3492.85
C09825,-3535.00
C09826, -640.03
C09827, -469.76
C09828,-1693.16
C09829, -945.13
C09830,-1891.38
C09831, -763.51
C09832, -565.30
C09833, -667.98
C09834,     nan
C09835,     nan
C09836, -172.49
C09837, -266.07
C09839,   39.21
C09840,  -66.70
C09841, -130.58
C09842, -215.12
C09843, -107.78
C09844,  -79.44
C09845, -250.87
C09846, -557.49
C09847,   73.81
C09848,   -2.48
C09849,  -42.56
C09850,     nan
C09851,     nan
C09852,     nan
C09853, -581.44
C09854, -232.41
C09855,     nan
C09856,     nan
C09858,  -51.53
C09859, -105.28
C09860,     nan
C09861, -108.83
C09862,     nan
C09863, -100.30
C09864,     nan
C09865,     nan
C09866,     nan
C09867,     nan
C09868,   95.45
C09869,     nan
C09870, -243.82
C09871,   33.73
C09872,     nan
C09873,  272.50
C09874,     nan
C09875,   80.70
C09876,     nan
C09877,  103.49
C09878,     nan
C09879,     nan
C09880,   26.68
C09881,     nan
C09882,   47.07
C09883,     nan
C09884,  -99.92
C09885, -103.84
C09886,     nan
C09887, -159.29
C09888,     nan
C09889,     nan
C09890,     nan
C09891,     nan
C09892,  186.55
C09893,  -86.45
C09894, -468.84
C09895,     nan
C09896, -209.34
C09897,     nan
C09898,   24.72
C09899,     nan
C09900,   24.72
C09901,     nan
C09902, -122.47
C09903,     nan
C09904, -245.47
C09905, -245.47
C09906,  -99.71
C09907, -194.85
C09908,  -66.70
C09909, -169.37
C09910,  161.00
C09911, -118.12
C09912,    7.75
C09913, -120.31
C09914, -922.63
C09915,   43.99
C09916, -569.34
C09917,     nan
C09918, -338.63
C09919,-1325.14
C09920,     nan
C09921, -256.75
C09922, -835.53
C09923, -540.99
C09924, -835.53
C09925,  106.56
C09926, -611.94
C09927, -403.06
C09928, -369.68
C09929, -224.50
C09930, -327.63
C09931,     nan
C09932,-1705.52
C09933, -315.88
C09934,     nan
C09935,     nan
C09936, -307.00
C09937,     nan
C09938,  -39.51
C09939, -468.97
C09940, -159.25
C09941,  -59.26
C09942, -484.43
C09943,     nan
C09944, -746.60
C09945,  169.90
C09946, -405.22
C09947, -137.94
C09948,  175.06
C09949,   25.78
C09950, -102.16
C09951, -691.47
C09952, -531.72
C09953, -821.18
C09954, -311.05
C09955, -674.97
C09956,     nan
C09957, -114.58
C09958, -392.80
C09959,     nan
C09960, -370.18
C09961, -180.99
C09962, -282.98
C09963, -241.78
C09964, -782.27
C09965, -889.24
C09966, -444.05
C09967,-1181.44
C09968, -715.06
C09969, -592.74
C09970, -375.55
C09971, -597.67
C09972,-3385.91
C09973,-1307.66
C09974, -546.92
C09975, -387.46
C09976,     nan
C09977, -467.34
C09978, -319.80
C09979, -223.04
C09980,  -91.65
C09981, -540.81
C09982, -903.41
C09983, -613.93
C09984,  129.13
C09985, -302.46
C09986, -315.88
C09987,   64.05
C09988,  -52.17
C09989,  -93.04
C09990,  370.03
C09991,   53.53
C09992,     nan
C09993,     nan
C09994,     nan
C09995,     nan
C09996,     nan
C09997,     nan
C09998,     nan
C09999,     nan
C10000,     nan
C10001,     nan
C10002,     nan
C10003,     nan
C10004,     nan
C10005,     nan
C10006,     nan
C10007,     nan
C10008, -337.22
C10009,     nan
C10010,     nan
C10011,     nan
C10012,     nan
C10013,     nan
C10014,     nan
C10015,     nan
C10016,     nan
C10017, -593.11
C10018, -593.11
C10019, -476.88
C10020,-1673.28
C10021, -908.35
C10022, -710.13
C10023, -486.76
C10024, -471.94
C10025,-1380.59
C10026,-1796.99
C10027, -718.10
C10028, -283.60
C10029, -273.73
C10030,-1076.46
C10031,-1081.40
C10032, -878.24
C10033, -883.18
C10034, -593.11
C10035, -222.32
C10036, -511.92
C10037, -308.77
C10038, -684.97
C10039,-1915.82
C10040, -700.26
C10041, -511.92
C10042,-1232.38
C10043,  122.70
C10044, -486.76
C10045, -471.94
C10046, -481.82
C10047, -303.83
C10048, -761.22
C10049, -379.14
C10050,-1477.44
C10051,-1634.53
C10052, -737.59
C10053, -737.59
C10054, -228.61
C10055, -245.35
C10056, -742.53
C10057, -766.95
C10058, -506.98
C10059, -448.50
C10060, -732.65
C10061, -336.23
C10062,     nan
C10063, -349.30
C10064, -732.65
C10065, -539.38
C10066, -534.44
C10067,-1280.06
C10068, -715.07
C10069, -737.59
C10070, -534.44
C10071, -592.42
C10072, -715.07
C10073,-1431.38
C10074, -651.65
C10075,-1259.84
C10076, -535.50
C10077,-1285.00
C10078, -715.07
C10079, -715.07
C10080, -344.36
C10081, -534.44
C10082, -539.38
C10083, -732.65
C10084, -710.13
C10085,     nan
C10086, -742.53
C10087, -360.60
C10088, -742.53
C10089,-1458.84
C10090, -601.61
C10091, -732.65
C10092, -737.59
C10093,-1453.90
C10094, -539.38
C10095,-1458.84
C10097, -511.92
C10098, -506.98
C10099, -995.12
C10100, -887.50
C10101,     nan
C10102,-1952.83
C10103,-1876.43
C10104,-1447.34
C10105, -715.07
C10106, -491.41
C10107, -918.22
C10108,-1477.44
C10109,-1796.99
C10110,-1593.84
C10111, -700.26
C10112,-1066.58
C10113, -308.77
C10114,-1232.38
C10115,-1081.40
C10116,-1081.40
C10117, -878.24
C10118, -913.29
C10119, -888.12
C10120, -714.28
C10121, -283.60
C10122, -918.22
C10123,  282.39
C10124, -617.10
C10125,   46.34
C10126,  265.34
C10127,   40.16
C10128, -316.92
C10129, -288.92
C10130,  126.24
C10131,  300.81
C10132, -617.10
C10133,  177.54
C10134, -888.51
C10135,     nan
C10136, -155.89
C10137, -570.24
C10138,  112.90
C10139,  250.66
C10140, -268.67
C10141, -609.75
C10142, -216.63
C10143, -607.86
C10144, -439.48
C10145, -389.95
C10146, -166.13
C10147, -176.20
C10148,  182.86
C10149, -294.90
C10150, -652.85
C10151,     nan
C10152, -121.71
C10153,  -29.20
C10154,    9.35
C10155, -278.46
C10156,   30.58
C10157,  105.77
C10158,  -96.97
C10159,   50.04
C10160,  345.76
C10161,  348.08
C10162,  381.43
C10163,  -63.26
C10164, -187.81
C10165,  153.53
C10166, -538.26
C10167, -312.98
C10168,  -98.20
C10169, -316.61
C10170,  444.54
C10171,   32.72
C10172,     nan
C10173, -448.73
C10174,  -93.56
C10175,-2454.26
C10176, -888.12
C10177, -715.07
C10178,-2479.98
C10179, -593.11
C10180, -700.26
C10181,-1593.84
C10182, -756.29
C10183,-1076.46
C10184, -511.92
C10185, -710.13
C10186, -868.37
C10187,-1405.43
C10188, -710.13
C10189, -878.24
C10190, -868.37
C10191,-1081.40
C10192, -715.07
C10193, -705.19
C10194, -784.71
C10195,-1749.68
C10196,-1592.59
C10197, -481.82
C10198,-1092.31
C10199, -298.89
C10200, -310.85
C10201, -672.44
C10202, -345.60
C10203, -684.97
C10204, -866.19
C10205, -118.50
C10206, -598.50
C10207, -785.19
C10208, -105.61
C10209,-1367.52
C10210,-7234.04
C10211,-2990.63
C10212,-3631.30
C10213,     nan
C10214,     nan
C10215,     nan
C10216, -999.91
C10217,-1219.96
C10218,-7355.56
C10219,-2486.73
C10220,-3351.46
C10221,-1773.82
C10222,-5271.72
C10223,-2579.64
C10224,-3692.07
C10225,-2241.99
C10226,-1332.28
C10227,-2180.13
C10228,-1570.67
C10229,-7294.80
C10230,     nan
C10231,-1367.52
C10232,     nan
C10233,-2094.43
C10234,     nan
C10235,     nan
C10236,-3028.64
C10237,     nan
C10238,-1773.82
C10239,-2648.30
C10240,-7355.56
C10241,-3089.40
C10242, -811.90
C10243,-3326.26
C10244, -543.86
C10245,-1173.81
C10246, -499.40
C10247, -329.63
C10248, -627.14
C10249,     nan
C10250, -236.09
C10251, -786.32
C10252, -893.50
C10253, -334.57
C10254, -131.42
C10255, -334.57
C10256, -527.85
C10257, -345.43
C10258, -389.90
C10259, -181.56
C10260, -544.79
C10261, -345.43
C10262, -405.49
C10263, -551.92
C10264, -272.47
C10265, -499.40
C10266,-1168.87
C10267, -340.50
C10268, -465.25
C10269, -131.42
C10270,     nan
C10271, -324.70
C10272, -340.50
C10273, -457.50
C10274, -603.71
C10275, -970.66
C10276,  -46.26
C10277,     nan
C10278, -330.23
C10279,     nan
C10280, -811.19
C10281,  -23.80
C10282, -748.20
C10283, -349.88
C10284, -465.25
C10285, -146.73
C10286, -998.28
C10287, -244.47
C10288,-1168.87
C10289, -564.79
C10290, -331.37
C10291, -450.29
C10292, -619.12
C10293, -657.00
C10294, -611.53
C10295,     nan
C10296,-1169.47
C10297, -480.40
C10298, -599.76
C10299, -923.03
C10300, -517.23
C10301, -833.36
C10302, -292.58
C10303,-1770.33
C10304,     nan
C10305,-1184.55
C10306, -933.75
C10307,-1900.86
C10308, -706.47
C10309,     nan
C10310, -166.60
C10311, -497.45
C10312, -455.23
C10313,-1760.45
C10314, -307.46
C10315, -454.44
C10316,-1170.75
C10317,     nan
C10318, -569.28
C10319, -923.03
C10320, -613.69
C10321, -294.98
C10322,  -53.64
C10323, -593.13
C10324, -667.76
C10325,  -60.56
C10326, -722.18
C10327, -408.38
C10328,     nan
C10329, -454.44
C10330, -722.18
C10331, -514.74
C10332, -584.93
C10333,     nan
C10334,-1283.28
C10335, -518.02
C10336, -714.73
C10337, -178.40
C10338, -696.41
C10339,     nan
C10340, -403.91
C10341, -868.61
C10342, -341.72
C10343, -657.59
C10344, -873.89
C10345,-1373.90
C10346,-1216.81
C10347, -722.18
C10348, -319.27
C10349,-1217.42
C10350,     nan
C10351,  -10.50
C10352, -453.60
C10353,     nan
C10354, -205.23
C10355, -468.67
C10356, -254.98
C10357,     nan
C10358, -605.62
C10359, -802.99
C10360, -371.99
C10361, -548.65
C10362, -453.87
C10363,     nan
C10364,     nan
C10365, -852.15
C10366, -209.50
C10367, -167.11
C10368, -143.97
C10369, -611.53
C10370, -383.93
C10371, -133.43
C10372, -394.11
C10373, -361.96
C10374, -442.70
C10375,     nan
C10376, -657.59
C10377, -736.50
C10378, -722.18
C10379, -657.59
C10380,     nan
C10381,-1368.96
C10382,-2040.60
C10383, -511.60
C10384,-1368.96
C10385,  676.60
C10386,     nan
C10387, -370.54
C10388, -816.45
C10389, -124.29
C10390, -372.44
C10391,     nan
C10392, -881.10
C10393,     nan
C10394, -992.21
C10395, -658.38
C10396, -684.49
C10397, -653.44
C10398, -315.02
C10399, -327.79
C10400, -124.72
C10401, -789.06
C10402, -454.44
C10403, -551.92
C10404,-2691.44
C10405,  -48.14
C10406,-1251.09
C10407, -855.02
C10408, -757.42
C10409, -757.42
C10410, -530.01
C10411, -426.11
C10412,-1022.89
C10413,     nan
C10414, -100.68
C10415, -876.07
C10416,-1731.54
C10417, -778.14
C10418, -565.30
C10419, -871.13
C10420,-1207.21
C10421, -435.05
C10422, -620.18
C10424,-1099.90
C10425, -327.43
C10426, -388.12
C10427, -586.34
C10428,   14.99
C10429, -575.53
C10430, -381.43
C10431,-1244.02
C10432,-1097.28
C10433,-1220.96
C10434,-1125.49
C10435, -378.78
C10436, -179.84
C10437,-1612.59
C10438, -121.41
C10439,-1827.79
C10441,-1075.44
C10443, -575.81
C10444, -340.04
C10445,-1572.91
C10446,-1021.13
C10447, -607.94
C10448, -425.47
C10449, -575.53
C10450,-2593.09
C10451, -379.97
C10452,   16.46
C10453, -186.70
C10454, -181.76
C10455, -301.53
C10456,-1928.91
C10457, -866.19
C10458,-1219.94
C10459, -462.03
C10460, -534.42
C10461, -734.57
C10462, -500.46
C10463,-1064.46
C10464, -930.45
C10465,-1797.70
C10466,-2237.76
C10467, -677.38
C10468,-1583.96
C10469, -188.16
C10470, -522.78
C10471, -502.04
C10472, -180.57
C10473,-2583.21
C10474,-1219.34
C10475, -102.02
C10476, -284.66
C10477, -499.71
C10478, -183.22
C10479,-2429.16
C10480, -377.32
C10481,-1853.75
C10482, -341.24
C10483,-1145.37
C10484, -343.88
C10485,-2078.55
C10486, -582.29
C10487, -392.88
C10488,-2593.09
C10490, -179.11
C10491, -125.55
C10492,-1244.63
C10493, -377.32
C10494, -261.02
C10495, -719.21
C10496, -646.50
C10497, -328.63
C10498, -582.29
C10499,-2088.13
C10500,-2183.63
C10501,-1921.46
C10502, -731.92
C10503, -536.35
C10504, -303.83
C10505, -153.14
C10506, -775.49
C10507, -719.21
C10508, -739.51
C10509, -994.97
C10510, -689.91
C10511, -288.26
C10512, -821.70
C10513,-1749.68
C10514, -450.41
C10515, -435.05
C10516, -896.75
C10517,-1997.33
C10518, -455.00
C10519, -491.41
C10520, -684.97
C10521, -481.82
C10522, -296.24
C10523,  167.11
C10524, -826.07
C10525, -381.42
C10526, -516.05
C10527, -476.88
C10528,-1582.58
C10529,  -80.95
C10530, -763.51
C10531, -734.57
C10532, -963.83
C10533,-1401.28
C10534, -506.98
C10535, -947.91
C10536, -303.83
C10537, -981.30
C10538,-1448.22
C10539, -701.19
C10540, -520.99
C10541, -341.88
C10542, -379.14
C10543,-2531.16
C10544,-1010.88
C10545, -753.73
C10546, -958.25
C10547, -779.42
C10548,-1361.79
C10549, -748.82
C10550, -348.97
C10551, -762.69
C10552, -965.84
C10553,-1136.11
C10554, -458.40
C10555, -900.00
C10556, -960.91
C10557, -944.36
C10558, -793.62
C10559, -915.46
C10560,-1616.64
C10561, -692.24
C10562, -179.70
C10563, -599.71
C10564, -356.17
C10565,     nan
C10566,  348.93
C10567,  142.57
C10568,  433.27
C10569,     nan
C10570, -119.43
C10571,     nan
C10572,  -15.37
C10573,     nan
C10574, -411.87
C10575,  -12.68
C10576, -230.47
C10577, -392.12
C10578,  200.34
C10579,-1610.72
C10580,     nan
C10581, -438.73
C10582,     nan
C10583, -270.78
C10584, -311.30
C10585,     nan
C10586, -238.62
C10587,  178.64
C10588, -342.28
C10589,     nan
C10590,  312.22
C10591, -146.97
C10592, -207.67
C10593, -696.46
C10594,  -58.40
C10595,     nan
C10596,  205.66
C10597,     nan
C10598,  -20.86
C10599,  311.94
C10600,     nan
C10601,  -58.40
C10602, -625.25
C10603,     nan
C10604,     nan
C10605, -336.05
C10606,     nan
C10607, -817.13
C10608,  -99.12
C10609, -459.77
C10610,  -28.03
C10611,  111.17
C10612,     nan
C10613, -380.16
C10614,     nan
C10615,     nan
C10616, -590.00
C10617,     nan
C10618,     nan
C10619,-1201.93
C10620, -449.36
C10621, -900.00
C10622, -991.73
C10623, -449.36
C10624,   55.33
C10625,     nan
C10626, -326.96
C10627, -743.49
C10628,   54.06
C10629, -232.89
C10630,   47.46
C10631, -517.04
C10632, -130.70
C10633, -910.52
C10634,   38.07
C10635, -132.56
C10636, -712.31
C10637,  -79.99
C10638, -458.40
C10639,  -86.16
C10640, -603.10
C10641,  368.93
C10642,  267.12
C10643, -419.80
C10644, -965.51
C10645, -271.23
C10646, -756.55
C10647, -446.66
C10648, -483.06
C10649, -345.77
C10650, -432.40
C10651,   47.46
C10652, -354.38
C10653, -520.27
C10654, -502.27
C10655, -199.29
C10656,  291.88
C10657, -991.73
C10658, -902.55
C10659,   33.03
C10660,   77.60
C10661,  -15.01
C10662, -457.39
C10663,   89.72
C10664, -595.18
C10665,   53.32
C10666, -312.97
C10667, -310.03
C10668, -469.00
C10669,-1165.18
C10670, -613.11
C10671,     nan
C10672,-1007.42
C10673, -585.39
C10674, -752.26
C10675, -401.90
C10676, -120.61
C10677,  -72.54
C10678, -514.39
C10679,  -79.35
C10680, -600.11
C10681,   16.37
C10682, -758.67
C10683, -201.94
C10684, -595.18
C10685, -322.13
C10686, -882.98
C10687,  215.27
C10688,  210.33
C10689, -161.37
C10690, -660.65
C10691, -670.71
C10692, -152.57
C10693,-1435.17
C10694, -323.76
C10695,     nan
C10696,  -46.04
C10697,  129.46
C10698,  -60.56
C10699, -164.02
C10700, -198.75
C10701, -318.83
C10702,  -91.13
C10703,  -93.78
C10704, -778.06
C10705,  -87.17
C10706, -122.48
C10707, -966.30
C10708,-1167.26
C10709, -581.48
C10710, -434.59
C10711, -281.05
C10712, -396.96
C10713, -359.58
C10714, -316.17
C10715,-1629.06
C10716, -318.83
C10717,-1113.27
C10718, -610.46
C10719, -504.50
C10720, -915.06
C10721, -317.04
C10722, -613.07
C10723,     nan
C10724, -610.42
C10725, -930.19
C10726, -595.18
C10727,   74.45
C10728, -498.17
C10729,-1169.00
C10730,-1159.12
C10731,  -22.55
C10732, -437.91
C10733,  121.61
C10734, -310.01
C10735, -488.00
C10736, -125.55
C10737,-1591.13
C10738, -118.17
C10739, -293.69
C10740, -318.83
C10741, -363.50
C10742,   -5.64
C10743,   96.45
C10744, -137.23
C10745, -681.27
C10746, -699.70
C10747,  114.71
C10748,  173.19
C10749,     nan
C10750,     nan
C10751,   24.36
C10752,  -54.79
C10753,     nan
C10754, -194.29
C10755,     nan
C10756, -353.10
C10757, -215.68
C10758,     nan
C10759, -320.42
C10760,     nan
C10761, -196.17
C10762, -822.78
C10763,     nan
C10764,  -24.03
C10765, -679.53
C10766, -477.15
C10767,     nan
C10768,     nan
C10769, -124.11
C10770, -109.52
C10771,  122.03
C10772,  -54.79
C10773,  -81.25
C10774,     nan
C10775,   35.56
C10776, -225.05
C10777,  221.26
C10778,     nan
C10779,  221.26
C10780,  -49.35
C10781,     nan
C10782,     nan
C10783,  120.91
C10784, -447.45
C10785,   93.63
C10786,  221.26
C10787, -481.31
C10788, -258.89
C10789,     nan
C10790,     nan
C10791,     nan
C10792, -444.34
C10793,  -66.62
C10794, -240.19
C10795,  284.96
C10796,-1613.22
C10797,     nan
C10798,  -45.42
C10799,     nan
C10800, -203.67
C10801,     nan
C10802,  -95.59
C10803,-2466.49
C10804, -371.86
C10805,-2278.98
C10806,    7.36
C10807,     nan
C10808, -269.45
C10809, -189.74
C10810,   81.68
C10811, -192.41
C10812, -391.73
C10813,  313.21
C10814,     nan
C10815,     nan
C10816,     nan
C10817,     nan
C10818, -119.69
C10819,-1701.95
C10820,-1770.31
C10821,  -74.77
C10822,  -23.60
C10823, -958.16
C10824,-1859.04
C10825, -119.34
C10826,  -54.35
C10827,-2555.23
C10828,     nan
C10829,   -1.83
C10830, -292.73
C10831,     nan
C10832, -478.66
C10833, -815.14
C10834,-1575.90
C10835,-1161.31
C10836, -422.07
C10837,-2250.01
C10838, -109.92
C10839,  -29.30
C10840, -483.14
C10841,     nan
C10842, -425.18
C10843,  -20.08
C10844, -139.58
C10845, -167.82
C10846,     nan
C10847, -447.81
C10848, -114.44
C10849, -186.58
C10850,     nan
C10851,     nan
C10852, -325.66
C10853, -317.59
C10854, -510.87
C10855, -515.80
C10856,     nan
C10857,     nan
C10858, -454.60
C10859, -265.45
C10860, -259.72
C10861, -497.00
C10862,     nan
C10863, -515.80
C10864, -120.73
C10865,  -85.42
C10866,     nan
C10867,  -12.77
C10868, -156.47
C10869, -403.02
C10870,-1765.12
C10871,-1131.17
C10873,-1551.25
C10874,-1131.17
C10875,-1107.89
C10876,-1770.40
C10877,-1111.02
C10878, -111.10
C10879, -595.31
C10880, -740.58
C10881,-1234.99
C10882, -686.94
C10883, -893.53
C10884,-1086.02
C10885,-1410.84
C10886,-1269.02
C10887, -859.46
C10888, -771.60
C10889,-1098.54
C10890,-1814.85
C10891, -925.25
C10892, -595.31
C10893, -897.35
C10894,-1088.67
C10895,     nan
C10896,  194.28
C10897,  261.14
C10898,  288.26
C10899, -146.01
C10900, -636.07
C10901,  212.24
C10902,   57.98
C10903,  -28.28
C10904, -334.13
C10905,     nan
C10906, -908.43
C10907,     nan
C10908,     nan
C10909,  114.28
C10910,  215.78
C10911, -138.72
C10912,  272.87
C10913, -235.77
C10914,  368.67
C10915,-1010.06
C10916,   12.17
C10917,  212.31
C10918,  -46.87
C10919,  339.71
C10920, -272.12
C10921, -219.91
C10922, -731.90
C10923,  242.41
C10924,   72.14
C10925, -127.91
C10926,   15.31
C10927,  332.15
C10928, -127.91
C10929, -147.54
C10930,     nan
C10931, -107.02
C10932,    4.40
C10933, -315.15
C10934,  -84.00
C10935,    6.74
C10936,   55.15
C10937, -532.32
C10938,   12.92
C10939, -242.06
C10940,   27.77
C10941, -204.83
C10942,  116.76
C10943, -351.95
C10944,  193.36
C10945, -310.11
C10946, -137.37
C10947, -403.87
C10948,     nan
C10949, -331.96
C10950,  195.07
C10951,     nan
C10952, -197.96
C10953, -118.27
C10954,   24.09
C10955, -141.28
C10956, -165.77
C10957, -187.70
C10958,  135.48
C10959, -134.05
C10960,   84.13
C10961,  -50.76
C10962, -119.86
C10963, -166.09
C10964, -149.11
C10965,  232.64
C10966,     nan
C10967,  411.02
C10968, -122.06
C10969,     nan
C10970,  130.85
C10971,  -74.36
C10972,  -24.54
C10973,     nan
C10974, -106.39
C10975,     nan
C10976, -229.85
C10977,     nan
C10978,     nan
